,Weight
Attr46,1558.0
Attr24,1418.0
Attr29,1150.0
Attr58,1105.0
Attr34,1077.0
Attr6,1067.0
Attr5,993.0
Attr40,981.0
Attr55,862.0
Attr21,836.0
Attr36,821.0
Attr9,789.0
Attr64,766.0
Attr25,753.0
Attr44,740.0
Attr41,638.0
Attr56,621.0
Attr47,592.0
Attr15,584.0
Attr43,567.0
Attr57,548.0
Attr20,545.0
Attr61,536.0
Attr54,533.0
Attr38,524.0
Attr60,517.0
Attr59,514.0
Attr45,510.0
Attr39,499.0
Attr28,498.0
Attr30,477.0
Attr35,461.0
Attr50,429.0
Attr53,422.0
Attr11,395.0
Attr51,393.0
Attr4,390.0
Attr13,390.0
Attr48,385.0
Attr1,359.0
Attr33,335.0
Attr49,335.0
Attr3,329.0
Attr32,316.0
Attr42,296.0
Attr62,288.0
Attr7,287.0
Attr26,279.0
Attr2,266.0
Attr12,256.0
Attr22,244.0
Attr31,233.0
Attr23,225.0
Attr19,216.0
Attr8,200.0
Attr16,181.0
Attr10,176.0
Attr63,138.0
Attr52,103.0
Attr17,88.0
Attr18,2.0
Attr14,1.0
